Source,Target,Type
4196,12994,Directed
17541,25918,Directed
17541,26026,Directed
17541,2640,Directed
17541,21166,Directed
17541,25918,Directed
17541,1138,Directed
17541,22459,Directed
17541,2212,Directed
17541,984,Directed
17541,25918,Directed
17541,18000,Directed
17541,22436,Directed
17541,9870,Directed
17541,25918,Directed
17541,452,Directed
17541,25918,Directed
17541,1317,Directed
17541,12473,Directed
17541,25918,Directed
17541,4227,Directed
17541,5742,Directed
17541,25918,Directed
17541,21382,Directed
17541,15330,Directed
17541,9835,Directed
17541,12095,Directed
17541,4891,Directed
17541,20643,Directed
17541,12473,Directed
17541,27756,Directed
17541,25361,Directed
17805,10283,Directed
17805,27409,Directed
24359,15534,Directed
24359,6016,Directed
24359,1549,Directed
24359,25288,Directed
24359,27389,Directed
24359,15165,Directed
24359,5711,Directed
24359,8246,Directed
24359,4227,Directed
24359,14950,Directed
24359,14109,Directed
24359,21955,Directed
24359,5742,Directed
24359,15165,Directed
24359,8607,Directed
24359,2213,Directed
24359,12941,Directed
24359,15165,Directed
24359,7024,Directed
18664,2711,Directed
18664,594,Directed
18664,11700,Directed
18664,20078,Directed
18664,2572,Directed
18664,11758,Directed
18396,15591,Directed
18396,18494,Directed
18396,6256,Directed
18396,2306,Directed
18396,20200,Directed
18396,15591,Directed
18396,17087,Directed
18396,3810,Directed
18396,7973,Directed
18396,15591,Directed
18396,20268,Directed
12023,1838,Directed
12023,14498,Directed
12023,1050,Directed
12023,594,Directed
12023,8277,Directed
15778,25320,Directed
15778,4797,Directed
15778,7977,Directed
15778,1945,Directed
15778,8424,Directed
15778,18342,Directed
15778,15420,Directed
15778,17044,Directed
15778,26579,Directed
15778,27270,Directed
15778,4733,Directed
15778,4370,Directed
15778,2397,Directed
15778,17957,Directed
3398,14435,Directed
3398,16366,Directed
3398,15684,Directed
3398,10029,Directed
3398,967,Directed
3398,15490,Directed
3398,7000,Directed
3398,11271,Directed
3398,5356,Directed
3398,21356,Directed
3398,10324,Directed
3398,5687,Directed
3398,20194,Directed
3398,6152,Directed
3398,12526,Directed
3398,45,Directed
3398,4668,Directed
3398,26804,Directed
3398,8803,Directed
3398,7337,Directed
3398,8847,Directed
3398,14245,Directed
3398,8258,Directed
3398,7373,Directed
3398,20486,Directed
3398,24958,Directed
3398,1246,Directed
7416,7416,Directed
7416,18152,Directed
7416,12204,Directed
7416,14396,Directed
7416,21833,Directed
7416,22990,Directed
7416,7416,Directed
7416,3234,Directed
7416,17208,Directed
7416,7416,Directed
7416,13394,Directed
7416,21433,Directed
7416,7416,Directed
7416,4349,Directed
7416,7416,Directed
7416,17299,Directed
7416,18152,Directed
7416,13072,Directed
7416,14782,Directed
7416,12748,Directed
7416,18680,Directed
13885,13885,Directed
13885,19218,Directed
13885,7190,Directed
13885,13885,Directed
13885,27445,Directed
13885,13885,Directed
13885,12677,Directed
5773,24159,Directed
5773,6750,Directed
5773,14156,Directed
5773,6787,Directed
5773,2197,Directed
5773,14924,Directed
5773,24823,Directed
5773,14924,Directed
5773,6750,Directed
5773,2675,Directed
5773,24159,Directed
5773,19360,Directed
5773,6750,Directed
5773,15245,Directed
5773,6598,Directed
5773,20334,Directed
5773,6750,Directed
5773,6687,Directed
5773,6520,Directed
5773,25937,Directed
5773,6750,Directed
5773,24823,Directed
5773,13132,Directed
5773,6750,Directed
22867,3942,Directed
22867,8501,Directed
22867,6651,Directed
22867,2142,Directed
22867,16027,Directed
22867,959,Directed
22867,12382,Directed
22867,19449,Directed
22867,6167,Directed
22867,17817,Directed
22867,11111,Directed
22867,25927,Directed
22867,8453,Directed
22867,15862,Directed
22867,5231,Directed
22867,10467,Directed
22867,6283,Directed
22867,12382,Directed
22867,15390,Directed
22867,16123,Directed
22867,21635,Directed
22867,4116,Directed
22867,8714,Directed
22867,8689,Directed
22867,15864,Directed
22867,223,Directed
22867,20000,Directed
22867,5608,Directed
22867,19436,Directed
22867,14475,Directed
22867,11769,Directed
22867,619,Directed
22867,23268,Directed
22867,8648,Directed
22867,6822,Directed
22867,14017,Directed
22867,26498,Directed
22867,13400,Directed
22867,13531,Directed
22867,3943,Directed
22867,1046,Directed
22867,22340,Directed
22867,25408,Directed
22867,11234,Directed
22867,16199,Directed
22867,8431,Directed
22867,22340,Directed
22867,10045,Directed
22867,1078,Directed
22867,16772,Directed
22867,16917,Directed
22867,9357,Directed
22867,10481,Directed
22867,20822,Directed
22867,13478,Directed
22867,25074,Directed
22867,11084,Directed
22867,2969,Directed
22867,21913,Directed
22867,14340,Directed
22867,21231,Directed
22867,24613,Directed
22867,9529,Directed
22867,17471,Directed
22867,24765,Directed
22867,16692,Directed
22867,12994,Directed
22867,15247,Directed
22867,14842,Directed
22867,25472,Directed
22867,15458,Directed
22867,142,Directed
22867,1931,Directed
22867,20761,Directed
22867,2773,Directed
22867,18212,Directed
22867,21005,Directed
22867,12085,Directed
22867,21478,Directed
22867,811,Directed
22867,21094,Directed
22867,22867,Directed
22867,26290,Directed
22867,24209,Directed
22867,13896,Directed
22867,15751,Directed
22867,15647,Directed
22867,11337,Directed
22867,19436,Directed
22867,19564,Directed
22867,18590,Directed
22867,24757,Directed
22867,22247,Directed
22867,9407,Directed
22867,26639,Directed
22158,21001,Directed
22158,24663,Directed
22158,26125,Directed
22158,17905,Directed
22158,3249,Directed
22158,21001,Directed
22158,18656,Directed
22158,21001,Directed
22158,7411,Directed
22158,3785,Directed
22158,19952,Directed
11084,10871,Directed
11084,24601,Directed
11084,1304,Directed
11084,23987,Directed
11084,16902,Directed
11084,27090,Directed
11084,13500,Directed
11084,16301,Directed
11084,22654,Directed
11084,23987,Directed
11084,1465,Directed
11084,16902,Directed
11084,15390,Directed
11084,17817,Directed
11084,16902,Directed
11084,24020,Directed
11084,16902,Directed
11084,20053,Directed
11084,16902,Directed
11084,7411,Directed
11084,16902,Directed
11084,1951,Directed
11084,25124,Directed
11084,22867,Directed
11084,16917,Directed
11084,9357,Directed
11084,10481,Directed
11084,20822,Directed
11084,23607,Directed
11084,13478,Directed
11084,16692,Directed
11084,18537,Directed
11084,25074,Directed
11084,2969,Directed
11084,5072,Directed
594,594,Directed
594,7152,Directed
594,15240,Directed
594,14498,Directed
594,1443,Directed
594,594,Directed
594,2334,Directed
594,8277,Directed
594,1838,Directed
594,594,Directed
594,26193,Directed
594,334,Directed
594,594,Directed
594,173,Directed
594,2604,Directed
594,594,Directed
594,2345,Directed
16713,10872,Directed
16713,11987,Directed
16713,8733,Directed
16713,21382,Directed
16713,8788,Directed
16713,2325,Directed
16713,22365,Directed
16713,13977,Directed
16713,13807,Directed
16713,17541,Directed
16713,27756,Directed
15641,15641,Directed
15641,6647,Directed
15641,24985,Directed
15641,15641,Directed
15641,21360,Directed
15641,19583,Directed
15641,14459,Directed
15641,15641,Directed
15641,17733,Directed
15641,7327,Directed
15641,11200,Directed
15641,7612,Directed
25487,1838,Directed
25487,14498,Directed
25487,1050,Directed
25487,594,Directed
25487,8277,Directed
5185,21533,Directed
5185,23450,Directed
5185,16966,Directed
5185,21184,Directed
5185,8005,Directed
5185,20166,Directed
5185,22401,Directed
5185,22462,Directed
5185,23923,Directed
5185,21533,Directed
5185,19160,Directed
5185,6042,Directed
26716,26716,Directed
26716,24085,Directed
26716,1141,Directed
26716,26053,Directed
26716,11942,Directed
26716,16363,Directed
26716,14849,Directed
26716,5393,Directed
26716,9564,Directed
26716,4510,Directed
26716,14655,Directed
26716,23669,Directed
26716,20200,Directed
26716,12025,Directed
26716,13158,Directed
26716,3847,Directed
26716,14090,Directed
26716,13960,Directed
26716,17317,Directed
26716,24890,Directed
26716,2014,Directed
26716,26716,Directed
26716,14498,Directed
26716,26850,Directed
26716,22911,Directed
26716,19413,Directed
26716,7723,Directed
26716,24772,Directed
26716,4070,Directed
26716,26716,Directed
26716,19323,Directed
26716,22839,Directed
26716,24180,Directed
26716,6224,Directed
26716,5897,Directed
26716,26716,Directed
26716,27157,Directed
26716,21340,Directed
26716,20635,Directed
26716,12277,Directed
26716,26716,Directed
26716,9030,Directed
26716,6180,Directed
26716,17659,Directed
26716,26716,Directed
26716,2306,Directed
26716,16446,Directed
26716,8247,Directed
26716,1412,Directed
26716,26716,Directed
26716,16563,Directed
26716,10627,Directed
26716,9323,Directed
26716,26716,Directed
26716,19820,Directed
26716,17934,Directed
26716,26716,Directed
26716,10019,Directed
26716,27605,Directed
26716,26716,Directed
26716,15904,Directed
23744,8604,Directed
23744,23875,Directed
23744,5429,Directed
23744,14958,Directed
23744,18430,Directed
23744,23178,Directed
23744,6496,Directed
23744,22484,Directed
23744,21254,Directed
23744,1438,Directed
23744,17272,Directed
23744,1038,Directed
23744,4622,Directed
14950,5243,Directed
14950,15647,Directed
14950,22682,Directed
14950,3966,Directed
14950,3771,Directed
14950,18507,Directed
14950,5083,Directed
14950,12150,Directed
14950,2348,Directed
14950,11034,Directed
14950,2285,Directed
14950,8246,Directed
14950,19411,Directed
14950,16124,Directed
14950,24653,Directed
14950,21730,Directed
14950,23766,Directed
