Source,Target,Type
23414,43472,Directed
23414,18027,Directed
23414,21171,Directed
23414,19969,Directed
23414,7745,Directed
23414,41454,Directed
23414,16892,Directed
23414,43577,Directed
23414,35435,Directed
23414,7642,Directed
23414,42693,Directed
23414,7504,Directed
23414,12220,Directed
23414,28585,Directed
23414,322,Directed
23414,38549,Directed
23414,33869,Directed
23414,24512,Directed
23414,13052,Directed
23414,5338,Directed
23414,11418,Directed
23414,13708,Directed
23414,13150,Directed
23414,31202,Directed
23414,2338,Directed
23414,23414,Directed
23414,41324,Directed
23414,4624,Directed
23414,34947,Directed
23414,10380,Directed
23414,23414,Directed
23414,43121,Directed
23414,14728,Directed
23414,12006,Directed
23414,42693,Directed
23414,28585,Directed
23414,13283,Directed
23414,27332,Directed
23414,11675,Directed
23414,23414,Directed
23414,21848,Directed
23414,21268,Directed
23414,23737,Directed
23414,10091,Directed
23414,38709,Directed
23414,43233,Directed
23414,4291,Directed
23414,4566,Directed
23414,13462,Directed
23414,9319,Directed
23414,9609,Directed
23414,42538,Directed
23414,10388,Directed
23414,12691,Directed
23414,33123,Directed
23414,33969,Directed
23414,23414,Directed
23414,34461,Directed
23414,6158,Directed
23414,4822,Directed
23414,25864,Directed
23414,27642,Directed
23414,30594,Directed
23414,34386,Directed
23414,23588,Directed
23414,32647,Directed
23414,5617,Directed
23414,23414,Directed
23414,18592,Directed
23414,33132,Directed
23414,5607,Directed
23414,4624,Directed
23414,23414,Directed
23414,5088,Directed
23414,19569,Directed
23414,9216,Directed
26509,17980,Directed
26509,5635,Directed
26509,28412,Directed
26509,6593,Directed
10993,7414,Directed
10993,10542,Directed
10993,25911,Directed
10993,10993,Directed
10993,6311,Directed
5619,25379,Directed
5619,5619,Directed
5619,14295,Directed
5619,7736,Directed
5619,25594,Directed
5619,42056,Directed
5619,38253,Directed
5619,25514,Directed
5619,43150,Directed
5619,4898,Directed
5619,42807,Directed
5619,5619,Directed
5619,25021,Directed
5619,39884,Directed
5619,28852,Directed
5619,14016,Directed
5619,2125,Directed
5619,32293,Directed
5619,31921,Directed
5619,15853,Directed
5619,1359,Directed
5619,8481,Directed
5619,28397,Directed
5619,29419,Directed
5619,10515,Directed
5619,24823,Directed
5619,40525,Directed
5619,23914,Directed
5619,14869,Directed
5619,30728,Directed
5619,7027,Directed
5619,38641,Directed
5619,12784,Directed
5619,25409,Directed
5619,40197,Directed
5619,3213,Directed
5619,26696,Directed
5619,19296,Directed
5619,13066,Directed
5619,24360,Directed
5619,2656,Directed
5619,8142,Directed
5619,21268,Directed
5619,10838,Directed
606,2341,Directed
606,4917,Directed
606,9775,Directed
606,35874,Directed
606,15981,Directed
606,606,Directed
606,30398,Directed
606,17081,Directed
606,38099,Directed
606,3981,Directed
606,32202,Directed
606,6455,Directed
606,29678,Directed
606,18946,Directed
606,23232,Directed
