Source,Target,Type
26549,21482,Directed
26549,19537,Directed
26549,960,Directed
26549,30266,Directed
26549,22558,Directed
26549,16177,Directed
26549,40373,Directed
26549,35656,Directed
26549,33542,Directed
26549,6695,Directed
26549,19603,Directed
26549,9478,Directed
26549,35217,Directed
26549,16177,Directed
26549,24030,Directed
26549,341,Directed
26549,28682,Directed
26549,16177,Directed
26549,8837,Directed
26549,16253,Directed
26549,37278,Directed
26549,25681,Directed
26549,1343,Directed
26549,19413,Directed
26549,18189,Directed
26549,18424,Directed
26549,8110,Directed
26549,24494,Directed
26549,6571,Directed
26549,41009,Directed
26549,34697,Directed
26549,26232,Directed
26549,11381,Directed
26549,36950,Directed
26549,15216,Directed
26549,27086,Directed
26549,29090,Directed
26549,17586,Directed
26549,3058,Directed
26549,27086,Directed
26549,34647,Directed
26549,303,Directed
26549,22468,Directed
26549,13633,Directed
26549,38313,Directed
26549,4922,Directed
26549,16177,Directed
26549,8866,Directed
26549,4042,Directed
26549,16177,Directed
26549,15750,Directed
26549,9097,Directed
26549,17451,Directed
26549,35735,Directed
26549,38871,Directed
26549,16488,Directed
26549,16342,Directed
26549,36231,Directed
26549,11204,Directed
26549,7745,Directed
26549,16324,Directed
3618,16124,Directed
3618,33297,Directed
3618,15034,Directed
3618,6633,Directed
3618,679,Directed
3618,19976,Directed
3618,16124,Directed
3618,33991,Directed
3618,29623,Directed
3618,6323,Directed
3618,7568,Directed
3618,9894,Directed
3618,39143,Directed
3618,23538,Directed
3618,38405,Directed
3618,26570,Directed
3618,36623,Directed
3618,40187,Directed
3618,34081,Directed
3618,17796,Directed
3618,25572,Directed
3618,39376,Directed
5050,19953,Directed
5050,12071,Directed
5050,18849,Directed
5050,12963,Directed
5050,5050,Directed
5050,20021,Directed
5050,17465,Directed
5050,3238,Directed
5050,17454,Directed
5050,5050,Directed
5050,18459,Directed
5050,12071,Directed
5050,24171,Directed
5050,12963,Directed
5050,1677,Directed
5050,23225,Directed
5050,3191,Directed
5050,37959,Directed
5050,26545,Directed
5050,21082,Directed
5050,20814,Directed
5050,5050,Directed
5050,29261,Directed
5050,27333,Directed
5050,7606,Directed
5050,38815,Directed
5050,26541,Directed
5050,7639,Directed
5050,5050,Directed
5050,24960,Directed
5050,40301,Directed
5050,31710,Directed
5050,17077,Directed
5050,28717,Directed
5050,6111,Directed
5050,34092,Directed
5050,3031,Directed
5050,24153,Directed
5050,34810,Directed
5050,18511,Directed
5050,10484,Directed
5050,672,Directed
5050,2459,Directed
5050,30020,Directed
5050,29603,Directed
5050,29360,Directed
5050,38076,Directed
5050,14757,Directed
5050,28286,Directed
5050,34580,Directed
5050,24870,Directed
5050,23882,Directed
539,539,Directed
539,22827,Directed
539,33253,Directed
539,18632,Directed
539,5953,Directed
539,9179,Directed
35101,35101,Directed
35101,36862,Directed
35101,22366,Directed
35101,5095,Directed
35101,11028,Directed
35101,4313,Directed
35101,3844,Directed
35101,38445,Directed
35101,6642,Directed
35101,10922,Directed
35101,35101,Directed
35101,9526,Directed
35101,10012,Directed
35101,33074,Directed
35101,15432,Directed
35101,3071,Directed
36901,36901,Directed
36901,31100,Directed
36901,9229,Directed
36901,12976,Directed
36901,31930,Directed
36901,38949,Directed
36901,18529,Directed
36901,39871,Directed
36901,36901,Directed
36901,3050,Directed
22587,22587,Directed
22587,12564,Directed
22587,36171,Directed
22587,26447,Directed
22587,36177,Directed
22587,19737,Directed
22587,22587,Directed
22587,22181,Directed
22587,18409,Directed
22587,32897,Directed
22587,36177,Directed
22587,22587,Directed
22587,15024,Directed
22587,36177,Directed
22587,37567,Directed
22587,22587,Directed
22587,19894,Directed
22587,34610,Directed
22587,29842,Directed
22587,22587,Directed
22587,1720,Directed
22587,22621,Directed
22587,22181,Directed
22587,26447,Directed
22587,34060,Directed
22587,22587,Directed
22587,37660,Directed
22587,15664,Directed
22587,8384,Directed
22587,22587,Directed
22587,18409,Directed
22587,5858,Directed
22587,23159,Directed
22587,23866,Directed
22587,842,Directed
22587,31625,Directed
22587,37984,Directed
22587,26677,Directed
22587,22587,Directed
22587,9267,Directed
22587,4315,Directed
22587,15254,Directed
22587,4751,Directed
22587,23938,Directed
17773,17773,Directed
17773,9929,Directed
17773,39250,Directed
17773,38485,Directed
17773,25431,Directed
17773,17773,Directed
17773,37067,Directed
17773,34617,Directed
17773,23452,Directed
17773,18749,Directed
17773,10205,Directed
17773,15,Directed
17773,1664,Directed
17773,5632,Directed
23326,16944,Directed
23326,20632,Directed
23326,4155,Directed
23326,11441,Directed
23326,789,Directed
23326,13633,Directed
23326,17586,Directed
23326,29747,Directed
23326,14740,Directed
23326,28747,Directed
23326,14877,Directed
23326,23816,Directed
23326,27426,Directed
23326,35088,Directed
23326,32074,Directed
23326,282,Directed
23326,29141,Directed
23326,23288,Directed
23326,31932,Directed
23326,3578,Directed
23326,2855,Directed
23326,39573,Directed
23326,23326,Directed
23326,22325,Directed
39136,39136,Directed
39136,31074,Directed
39136,30794,Directed
39136,38213,Directed
39136,30424,Directed
39136,14080,Directed
39136,34301,Directed
39136,31411,Directed
39136,37203,Directed
39136,21984,Directed
39136,39136,Directed
39136,31833,Directed
39136,22853,Directed
39136,27167,Directed
39136,39136,Directed
39136,27834,Directed
39136,39602,Directed
39136,36849,Directed
39136,39136,Directed
39136,8290,Directed
39136,7316,Directed
39136,39136,Directed
39136,15617,Directed
39136,39469,Directed
39136,30590,Directed
39136,3793,Directed
39136,39136,Directed
39136,16279,Directed
39136,18746,Directed
39136,15617,Directed
39136,30590,Directed
39136,7314,Directed
30367,6316,Directed
30367,39003,Directed
30367,3817,Directed
30367,4550,Directed
30367,39871,Directed
30367,3002,Directed
30367,30367,Directed
30367,30367,Directed
30367,2607,Directed
30367,18986,Directed
30367,13938,Directed
30367,37271,Directed
30367,35317,Directed
30367,30367,Directed
30367,1694,Directed
30367,11146,Directed
30367,19719,Directed
30367,22087,Directed
30367,30751,Directed
30367,17097,Directed
30367,18227,Directed
30367,20909,Directed
30367,297,Directed
30367,17842,Directed
30367,20981,Directed
30367,6287,Directed
30367,33207,Directed
31074,39136,Directed
31074,31074,Directed
31074,30794,Directed
31074,38213,Directed
31074,30424,Directed
31074,14080,Directed
31074,34301,Directed
31074,31411,Directed
31074,37203,Directed
31074,21984,Directed
31074,31074,Directed
31074,32500,Directed
31074,2894,Directed
31074,40814,Directed
31074,31074,Directed
31074,10407,Directed
31074,30490,Directed
31074,34393,Directed
31074,18508,Directed
31074,17327,Directed
31074,38648,Directed
31074,32500,Directed
31074,34702,Directed
31074,32389,Directed
31074,29884,Directed
31074,40814,Directed
31074,14842,Directed
31074,31074,Directed
31074,29873,Directed
31074,18025,Directed
31074,7184,Directed
31074,3372,Directed
31074,36924,Directed
31074,29201,Directed
31074,21466,Directed
31074,24911,Directed
31074,7029,Directed
31074,27047,Directed
31074,12350,Directed
11896,11896,Directed
11896,11429,Directed
11896,16528,Directed
11896,15310,Directed
11896,38319,Directed
11896,20235,Directed
11896,17440,Directed
11896,20138,Directed
11896,26410,Directed
11896,11010,Directed
11896,28751,Directed
11896,3205,Directed
11896,12305,Directed
11896,32259,Directed
11896,28849,Directed
11896,22373,Directed
11896,13655,Directed
26296,26296,Directed
26296,7055,Directed
26296,23106,Directed
26296,33544,Directed
26296,36164,Directed
26296,26296,Directed
26296,37474,Directed
26296,17245,Directed
26296,33544,Directed
26296,36164,Directed
26296,11016,Directed
26296,33024,Directed
26296,28852,Directed
26296,30065,Directed
26296,19574,Directed
26296,33585,Directed
26296,721,Directed
26296,27361,Directed
26296,117,Directed
29143,29143,Directed
29143,25849,Directed
29143,39847,Directed
29143,16349,Directed
29143,19671,Directed
29143,3646,Directed
29143,37074,Directed
29143,29143,Directed
29143,7364,Directed
29143,378,Directed
29143,22042,Directed
29143,17078,Directed
29143,35125,Directed
29143,2876,Directed
29143,26629,Directed
29143,11386,Directed
29143,11826,Directed
29143,4120,Directed
29143,11247,Directed
29143,30641,Directed
29143,27937,Directed
37835,11834,Directed
37835,37835,Directed
37835,39224,Directed
37835,38035,Directed
37835,8653,Directed
37835,16017,Directed
37835,40538,Directed
37835,37835,Directed
37835,35740,Directed
37835,23314,Directed
37835,9510,Directed
37835,1394,Directed
37835,7705,Directed
37835,37835,Directed
37835,30372,Directed
37835,37565,Directed
37835,33557,Directed
37835,12295,Directed
37835,10869,Directed
37835,17481,Directed
37835,6105,Directed
23615,11834,Directed
23615,37835,Directed
23615,39224,Directed
23615,38035,Directed
23615,8653,Directed
23615,16017,Directed
23615,40538,Directed
23615,37835,Directed
23615,35740,Directed
23615,23314,Directed
23615,9510,Directed
23615,1394,Directed
23615,7705,Directed
23615,37835,Directed
23615,30372,Directed
23615,37565,Directed
23615,33557,Directed
23615,12295,Directed
23615,10869,Directed
23615,17481,Directed
23615,6105,Directed
20134,11834,Directed
20134,37835,Directed
20134,39224,Directed
20134,38035,Directed
20134,8653,Directed
20134,16017,Directed
20134,40538,Directed
20134,37835,Directed
20134,35740,Directed
20134,23314,Directed
20134,9510,Directed
20134,1394,Directed
20134,7705,Directed
20134,37835,Directed
20134,30372,Directed
20134,37565,Directed
20134,33557,Directed
20134,12295,Directed
20134,10869,Directed
20134,17481,Directed
20134,6105,Directed
5720,5720,Directed
5720,4972,Directed
5720,38014,Directed
5720,22,Directed
5720,20995,Directed
5720,5720,Directed
5720,36273,Directed
5720,13856,Directed
5720,38572,Directed
5720,21356,Directed
5720,16258,Directed
5720,28421,Directed
5720,34631,Directed
5720,32020,Directed
5720,10578,Directed
5720,6319,Directed
5720,12851,Directed
5720,5235,Directed
5720,30699,Directed
5720,12767,Directed
5720,9422,Directed
5720,38978,Directed
4366,23180,Directed
4366,14641,Directed
4366,19039,Directed
4366,29028,Directed
4366,1342,Directed
4366,4366,Directed
4366,25744,Directed
4366,4366,Directed
4366,28732,Directed
4366,652,Directed
4366,33671,Directed
4366,19922,Directed
4366,17738,Directed
4366,9779,Directed
4366,14842,Directed
4366,32500,Directed
4366,5074,Directed
4366,6625,Directed
4366,15873,Directed
4366,4572,Directed
4366,21435,Directed
4366,37361,Directed
4366,8848,Directed
4366,12244,Directed
4366,40154,Directed
4366,4925,Directed
4366,31191,Directed
4366,4366,Directed
4366,27597,Directed
4366,3443,Directed
4366,19285,Directed
4366,4366,Directed
4366,844,Directed
4366,8556,Directed
16124,16124,Directed
16124,33297,Directed
16124,15034,Directed
16124,6633,Directed
16124,679,Directed
16124,19976,Directed
16124,16124,Directed
16124,33991,Directed
16124,29623,Directed
16124,6323,Directed
16124,7568,Directed
16124,9894,Directed
16124,39143,Directed
16124,23538,Directed
16124,38405,Directed
16124,26570,Directed
16124,36623,Directed
16124,40187,Directed
16124,34081,Directed
16124,17796,Directed
16124,25572,Directed
16124,39376,Directed
26560,26560,Directed
26560,35413,Directed
26560,14276,Directed
26560,22434,Directed
26560,12917,Directed
26560,20366,Directed
26560,38134,Directed
26560,905,Directed
26560,12001,Directed
26560,18828,Directed
26560,26560,Directed
26560,14345,Directed
26560,32671,Directed
26560,32156,Directed
26560,36513,Directed
26560,31404,Directed
26560,31077,Directed
26560,26560,Directed
26560,16043,Directed
26560,31077,Directed
31619,20663,Directed
31619,4490,Directed
31619,21445,Directed
31619,10258,Directed
31619,31619,Directed
31619,12702,Directed
1445,1445,Directed
1445,40249,Directed
1445,36848,Directed
1445,2068,Directed
1445,19477,Directed
1445,1445,Directed
1445,29689,Directed
1445,39295,Directed
1445,15248,Directed
1445,2068,Directed
8535,9346,Directed
8535,29528,Directed
8535,28936,Directed
8535,3064,Directed
8535,16977,Directed
8535,7978,Directed
8535,40601,Directed
8535,4228,Directed
8535,6656,Directed
8535,8535,Directed
8535,18047,Directed
8535,38292,Directed
8535,29580,Directed
8535,1710,Directed
33375,11546,Directed
33375,33375,Directed
33375,19474,Directed
33375,1375,Directed
33375,24857,Directed
33375,16919,Directed
33375,13330,Directed
33375,7266,Directed
33375,16919,Directed
33375,33442,Directed
33375,38142,Directed
33375,33375,Directed
33375,2324,Directed
33375,26620,Directed
33375,37599,Directed
33375,35181,Directed
33375,18841,Directed
33375,17133,Directed
33375,15477,Directed
33375,17010,Directed
33375,8019,Directed
33375,12803,Directed
33375,35869,Directed
33375,3314,Directed
33375,771,Directed
33375,491,Directed
33375,22640,Directed
33375,33375,Directed
33375,31989,Directed
33375,31211,Directed
33375,7289,Directed
33375,38107,Directed
33375,33375,Directed
33375,26615,Directed
33375,4091,Directed
33375,1720,Directed
33375,26345,Directed
33375,3668,Directed
33375,3002,Directed
33375,33375,Directed
33375,18090,Directed
33375,29593,Directed
33375,33874,Directed
